customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TEL100018,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,91.57,6222.76,No
TEL100019,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.46,2538.78,Yes
TEL100020,Female,1,No,No,55,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,66.83,2856.72,No
TEL100021,Male,0,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card,87.87,4443.55,Yes
TEL100022,Male,1,No,No,52,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,70.54,3415.2,No
TEL100023,Female,0,No,No,72,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,51.14,3565.59,No
TEL100024,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer,94.22,4170.58,No
TEL100025,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.02,4582.93,No
TEL100026,Male,0,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,55.43,1143.35,No
TEL100027,Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,108.38,2978.05,No
TEL100028,Female,0,No,Yes,28,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card,62.31,1853.25,No
TEL100029,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,104.59,1447.2,Yes
TEL100030,Male,0,No,No,16,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,69.57,1187.73,No
TEL100031,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,83.55,2549.2,No
TEL100032,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer,99.31,2736.9,No
TEL100033,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card,77.87,4917.1,No
TEL100034,Female,0,No,Yes,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,72.14,1225.79,No
TEL100035,Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,20.01,247.91,No
TEL100036,Female,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.95,352.85,Yes
TEL100037,Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,90.45,4463.65,No
TEL100038,Male,1,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Credit card,101.14,7358.82,No
TEL100039,Female,0,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,21.71,565.54,No
TEL100040,Male,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,48.77,1591.94,No
TEL100041,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,103.04,3093.05,No
TEL100042,Female,0,Yes,No,44,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,99.73,4365.57,No
TEL100043,Male,0,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,48.91,614.23,No
TEL100044,Male,0,No,Yes,39,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,66.92,2663.82,No
TEL100045,Female,1,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.51,890.92,No
TEL100046,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card,93.69,5050.48,No
TEL100047,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card,96.78,4584.52,No
TEL100048,Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,82.0,2956.44,No
TEL100049,Female,1,No,No,24,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer,83.47,1886.93,No
TEL100050,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,105.12,1666.29,No
TEL100051,Male,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,87.19,3729.99,No
TEL100052,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,105.18,2915.48,No
TEL100053,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,72.18,1628.45,No
TEL100054,Male,0,No,Yes,22,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,62.63,1562.63,No
TEL100055,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card,99.0,7184.7,No
TEL100056,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,105.77,6599.42,No
TEL100057,Male,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,112.09,2363.42,No
TEL100058,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card,57.15,855.99,Yes
TEL100059,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer,116.85,2843.13,No
TEL100060,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.11,1581.5,Yes
TEL100061,Female,0,No,No,38,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,93.61,3435.48,No
TEL100062,Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,101.57,2883.78,No
TEL100063,Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,25.17,962.61,No
TEL100064,Male,1,No,No,23,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,63.93,1423.33,Yes
TEL100065,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.91,7864.06,No
TEL100066,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card,112.89,1037.31,No
TEL100067,Male,0,No,Yes,28,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,57.72,1622.15,No
TEL100068,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card,100.28,7754.19,No
TEL100069,Male,0,Yes,Yes,46,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,49.09,2330.17,No
TEL100070,Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,94.16,2634.98,No
TEL100071,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,114.08,4471.95,Yes
TEL100072,Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.84,527.86,No
TEL100073,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,27.3,849.92,No
TEL100074,Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.44,283.7,No
TEL100075,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,91.95,585.39,Yes
TEL100076,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card,111.12,6630.22,No
TEL100077,Male,0,No,Yes,19,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,86.7,1314.5,Yes
TEL100078,Female,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,89.25,997.84,No
TEL100079,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.74,779.19,No
TEL100080,Female,0,Yes,No,44,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer,48.82,2397.91,No
TEL100081,Male,0,No,Yes,12,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,94.41,1112.75,No
TEL100082,Male,0,Yes,No,20,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,52.89,1131.49,No
TEL100083,Female,0,No,No,47,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,58.0,2663.29,No
TEL100084,Female,1,Yes,No,31,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card,76.95,2568.79,No
TEL100085,Female,0,No,No,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,110.71,8405.64,No
TEL100086,Male,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer,111.5,5590.2,No
TEL100087,Male,0,No,No,41,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,90.92,4227.04,No
TEL100088,Female,1,Yes,Yes,47,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,59.1,3194.87,No
TEL100089,Female,0,No,Yes,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card,89.94,885.14,No
TEL100090,Male,0,Yes,No,28,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,73.59,1998.43,No
TEL100091,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,85.8,6335.94,No
TEL100092,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,110.49,2379.43,No
TEL100093,Male,0,No,Yes,29,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.97,3047.28,Yes
TEL100094,Female,1,No,No,19,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,70.41,1439.36,No
TEL100095,Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.26,2115.64,No
TEL100096,Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer,89.56,4374.36,No
TEL100097,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,88.11,6297.24,No
TEL100098,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.26,2720.12,No
TEL100099,Male,1,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,103.76,655.47,No
TEL100100,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.22,897.36,No
TEL100101,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,104.44,2263.4,Yes
TEL100102,Female,0,No,Yes,12,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,59.54,691.11,No
TEL100103,Male,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,107.44,5592.54,No
TEL100104,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,104.31,2507.8,No
TEL100105,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,97.1,1422.89,No
TEL100106,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,27.86,1026.76,Yes
TEL100107,Female,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.73,958.52,Yes
TEL100108,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,113.14,8342.97,Yes
TEL100109,Female,0,No,No,63,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,67.79,4293.34,No
TEL100110,Male,0,Yes,No,46,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,71.22,3275.18,No
TEL100111,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer,63.35,2703.99,No
TEL100112,Female,0,No,No,27,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,73.86,1908.5,No
TEL100113,Male,1,No,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,116.95,3888.45,No
TEL100114,Female,0,Yes,Yes,27,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,73.29,1809.27,No
TEL100115,Female,1,No,Yes,9,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,65.64,633.87,No
TEL100116,Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,103.5,5489.26,No
TEL100117,Male,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,1116.23,No
TEL100118,Male,0,Yes,Yes,19,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.02,1390.58,No
TEL100119,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,92.46,4528.15,No
TEL100120,Male,0,Yes,Yes,29,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.81,2302.94,No
TEL100121,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.85,545.51,Yes
TEL100122,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,97.04,446.16,Yes
TEL100123,Male,0,No,No,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer,95.72,4800.37,No
TEL100124,Female,0,No,No,40,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.26,3135.73,No
TEL100125,Female,0,No,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.67,282.74,Yes
TEL100126,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,99.53,2283.22,No
TEL100127,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.65,788.14,No
TEL100128,Female,1,Yes,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,102.08,3822.96,No
TEL100129,Female,1,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card,105.68,5555.35,No
TEL100130,Female,0,No,Yes,26,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card,62.39,1579.35,No
TEL100131,Female,0,Yes,No,8,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,80.53,632.8,No
TEL100132,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,93.9,2353.43,No
TEL100133,Female,0,No,No,22,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,52.06,1309.28,No
TEL100134,Female,1,No,No,17,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,46.5,898.1,No
TEL100135,Male,0,No,No,51,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card,46.64,2412.74,No
TEL100136,Female,0,Yes,No,15,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card,39.49,478.98,No
TEL100137,Male,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,92.07,1071.27,Yes
TEL100138,Male,0,No,No,21,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,83.73,1752.47,No
TEL100139,Male,1,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,34.23,,Yes
TEL100140,Female,0,No,No,31,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card,71.79,2369.07,No
TEL100141,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,31.27,1736.05,No
TEL100142,Male,0,Yes,No,18,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,84.05,1533.53,No
TEL100143,Male,1,Yes,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.94,5533.78,No
TEL100144,Female,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card,88.6,1796.51,No
TEL100145,Female,0,Yes,No,6,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,49.16,324.82,No
TEL100146,Male,1,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,92.34,4656.96,No
TEL100147,Male,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,70.65,689.79,No
TEL100148,Female,1,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.4,707.54,No
TEL100149,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,26.34,257.11,No
TEL100150,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,101.19,3396.29,No
TEL100151,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.5,1221.93,Yes
TEL100152,Female,0,No,No,8,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,57.04,443.41,No
TEL100153,Male,0,Yes,Yes,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,80.31,2042.34,No
TEL100154,Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer,61.03,260.87,No
TEL100155,Female,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,90.37,2155.18,No
TEL100156,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,93.38,4728.86,Yes
TEL100157,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,56.44,4562.54,No
TEL100158,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,108.85,3271.97,No
TEL100159,Female,0,Yes,No,27,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,66.2,1836.58,No
TEL100160,Female,1,Yes,No,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,93.05,6007.7,No
TEL100161,Female,1,Yes,No,11,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card,45.56,501.21,No
TEL100162,Male,0,No,No,15,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer,60.64,1001.98,Yes
TEL100163,Male,0,Yes,Yes,45,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,62.76,2850.54,No
TEL100164,Male,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,91.59,1764.81,No
TEL100165,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,111.75,2690.08,No
TEL100166,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,78.57,2260.94,No
TEL100167,Male,0,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,77.68,853.22,No
TEL100168,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,110.71,917.27,Yes
TEL100169,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,100.22,1369.39,Yes
TEL100170,Male,0,Yes,Yes,22,No,No phone service,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,57.65,1319.83,No
TEL100171,Male,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,38.15,1531.93,No
TEL100172,Female,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,105.34,2935.16,No
TEL100173,Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.5,1081.18,No
TEL100174,Female,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.52,907.99,No
TEL100175,Male,0,No,No,48,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,101.82,4161.78,No
TEL100176,Female,0,Yes,No,23,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,80.99,2013.51,No
TEL100177,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer,98.13,413.33,No
TEL100178,Female,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,106.76,1784.17,No
TEL100179,Female,0,Yes,No,30,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.82,1869.99,No
TEL100180,Female,0,Yes,No,41,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.12,2452.5,Yes
TEL100181,Male,0,No,Yes,19,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,78.91,1566.35,No
TEL100182,Male,0,No,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,86.73,2771.31,No
